unix_timestamp,datetime_utc,open,high,low,close
1767225600,2026-01-01 00:00:00,2971.65,2982.83,2971.15,2979.81
1767229200,2026-01-01 01:00:00,2979.81,2988.96,2979.18,2984.32
1767232800,2026-01-01 02:00:00,2984.33,2987.82,2980.9,2982.49
1767236400,2026-01-01 03:00:00,2982.5,2986.18,2979.53,2980
1767240000,2026-01-01 04:00:00,2979.99,2980.97,2972.99,2975.35
1767243600,2026-01-01 05:00:00,2975.36,2983.79,2975.36,2981.49
1767247200,2026-01-01 06:00:00,2981.49,2981.49,2975.89,2975.89
1767250800,2026-01-01 07:00:00,2975.9,2980.89,2975.89,2978.53
1767254400,2026-01-01 08:00:00,2978.52,2983,2977.8,2982.59
1767258000,2026-01-01 09:00:00,2982.59,2987.41,2982.15,2984
1767261600,2026-01-01 10:00:00,2984,2985.77,2982.14,2985
1767265200,2026-01-01 11:00:00,2984.99,2993.2,2984.99,2989.69
1767268800,2026-01-01 12:00:00,2989.7,2990.45,2983.36,2987.69
1767272400,2026-01-01 13:00:00,2987.7,2990.09,2982.02,2982.96
1767276000,2026-01-01 14:00:00,2982.96,2986.45,2977.74,2985.15
1767279600,2026-01-01 15:00:00,2985.16,2994.87,2980.75,2989.87
1767283200,2026-01-01 16:00:00,2989.87,2990.84,2980.75,2982.29
1767286800,2026-01-01 17:00:00,2982.28,3005.98,2980.89,2990.44
1767290400,2026-01-01 18:00:00,2990.44,2992.74,2985.15,2990.41
1767294000,2026-01-01 19:00:00,2990.4,2998.04,2987.23,2995.42
1767297600,2026-01-01 20:00:00,2995.42,2997.15,2987.54,2989.08
1767301200,2026-01-01 21:00:00,2989.09,2993.06,2987.66,2989.66
1767304800,2026-01-01 22:00:00,2989.66,3000.26,2987.57,2999.3
1767308400,2026-01-01 23:00:00,2999.29,3010,2990.98,3004.19
1767312000,2026-01-02 00:00:00,3004.19,3008.48,2995.38,3006.14
1767315600,2026-01-02 01:00:00,3006.15,3008.08,2998.46,3002.98
1767319200,2026-01-02 02:00:00,3002.99,3003.65,2992.49,3002.29
1767322800,2026-01-02 03:00:00,3002.29,3035,3000,3022.53
1767326400,2026-01-02 04:00:00,3022.53,3024.61,3010.5,3011.84
1767330000,2026-01-02 05:00:00,3011.83,3018.63,3009.02,3016.56
1767333600,2026-01-02 06:00:00,3016.55,3039.54,3014.49,3026.9
1767337200,2026-01-02 07:00:00,3026.91,3032.41,3016.89,3018.33
1767340800,2026-01-02 08:00:00,3018.32,3033.88,3015.95,3032.28
1767344400,2026-01-02 09:00:00,3032.27,3055,3030.15,3048.15
1767348000,2026-01-02 10:00:00,3048.16,3069.71,3045.71,3057.25
1767351600,2026-01-02 11:00:00,3057.25,3057.91,3040.89,3047.82
1767355200,2026-01-02 12:00:00,3047.81,3057.97,3043.2,3048.67
1767358800,2026-01-02 13:00:00,3048.66,3058.42,3046.35,3050.27
1767362400,2026-01-02 14:00:00,3050.28,3109,3020.79,3082.85
1767366000,2026-01-02 15:00:00,3082.84,3097.65,3055.13,3086.64
1767369600,2026-01-02 16:00:00,3086.64,3146.97,3079.23,3132.22
1767373200,2026-01-02 17:00:00,3132.21,3150.01,3110.83,3123
1767376800,2026-01-02 18:00:00,3122.99,3132.2,3097.13,3110.56
1767380400,2026-01-02 19:00:00,3110.56,3127.87,3107.62,3123.62
1767384000,2026-01-02 20:00:00,3123.63,3129.75,3111.52,3117.99
1767387600,2026-01-02 21:00:00,3117.99,3134,3116.31,3130.96
1767391200,2026-01-02 22:00:00,3130.96,3146,3128.09,3133.81
1767394800,2026-01-02 23:00:00,3133.82,3135.66,3120.3,3125.45
1767398400,2026-01-03 00:00:00,3125.46,3136.71,3122.26,3131
1767402000,2026-01-03 01:00:00,3130.99,3131.85,3123.43,3130.81
1767405600,2026-01-03 02:00:00,3130.81,3130.81,3120.17,3126.27
1767409200,2026-01-03 03:00:00,3126.26,3127.35,3119.26,3125.56
1767412800,2026-01-03 04:00:00,3125.56,3127.79,3115.01,3116.61
1767416400,2026-01-03 05:00:00,3116.61,3119.09,3104.89,3112.12
1767420000,2026-01-03 06:00:00,3112.12,3117.76,3098.34,3098.34
1767423600,2026-01-03 07:00:00,3098.33,3105.31,3076,3090.5
1767427200,2026-01-03 08:00:00,3090.49,3105.72,3083.86,3095.48
1767430800,2026-01-03 09:00:00,3095.48,3110.56,3091.96,3100.9
1767434400,2026-01-03 10:00:00,3100.9,3105.53,3097.05,3097.31
1767438000,2026-01-03 11:00:00,3097.31,3100.22,3091.99,3098.49
1767441600,2026-01-03 12:00:00,3098.5,3105.58,3093.47,3105.04
1767445200,2026-01-03 13:00:00,3105.04,3107.99,3100.89,3103.03
1767448800,2026-01-03 14:00:00,3103.03,3114.61,3101.5,3106
1767452400,2026-01-03 15:00:00,3106,3107.5,3100.28,3101.31
1767456000,2026-01-03 16:00:00,3101.32,3112.17,3098.33,3107.03
1767459600,2026-01-03 17:00:00,3107.04,3110.42,3105.62,3108.46
1767463200,2026-01-03 18:00:00,3108.47,3118.55,3105.08,3116.46
1767466800,2026-01-03 19:00:00,3116.46,3116.46,3110.5,3113.13
1767470400,2026-01-03 20:00:00,3113.13,3116.89,3107.49,3115.65
1767474000,2026-01-03 21:00:00,3115.65,3129.22,3113.04,3120.87
1767477600,2026-01-03 22:00:00,3120.87,3126.2,3113.92,3122.78
1767481200,2026-01-03 23:00:00,3122.78,3131,3120.89,3127.11
1767484800,2026-01-04 00:00:00,3127.11,3167.22,3126.35,3157.75
1767488400,2026-01-04 01:00:00,3157.75,3162.33,3141.5,3150.17
1767492000,2026-01-04 02:00:00,3150.17,3151.02,3137.6,3141.12
1767495600,2026-01-04 03:00:00,3141.12,3150.86,3140.01,3147.36
1767499200,2026-01-04 04:00:00,3147.36,3156,3144.89,3148.25
1767502800,2026-01-04 05:00:00,3148.26,3152.3,3144.48,3151.36
1767506400,2026-01-04 06:00:00,3151.36,3163.19,3139.37,3140
1767510000,2026-01-04 07:00:00,3140,3145.92,3133.57,3141.29
1767513600,2026-01-04 08:00:00,3141.29,3141.98,3126,3138.61
1767517200,2026-01-04 09:00:00,3138.62,3148,3134.9,3143.78
1767520800,2026-01-04 10:00:00,3143.79,3148.3,3142.66,3146.34
1767524400,2026-01-04 11:00:00,3146.34,3146.34,3135.32,3139.54
1767528000,2026-01-04 12:00:00,3139.55,3147.26,3133.59,3136.8
1767531600,2026-01-04 13:00:00,3136.81,3141.51,3131.8,3140.76
1767535200,2026-01-04 14:00:00,3140.75,3143.3,3132,3137.26
1767538800,2026-01-04 15:00:00,3137.25,3139.6,3118.75,3135.55
1767542400,2026-01-04 16:00:00,3135.55,3139.97,3131.03,3139.11
1767546000,2026-01-04 17:00:00,3139.12,3143.6,3135.68,3137.5
1767549600,2026-01-04 18:00:00,3137.49,3137.88,3123.01,3135.03
1767553200,2026-01-04 19:00:00,3135.04,3135.14,3118.98,3132.72
1767556800,2026-01-04 20:00:00,3132.72,3143,3130.85,3142.09
1767560400,2026-01-04 21:00:00,3142.09,3155.85,3137.75,3145.44
1767564000,2026-01-04 22:00:00,3145.44,3150.36,3136.44,3139.37
1767567600,2026-01-04 23:00:00,3139.37,3153.7,3134.67,3144.7
1767571200,2026-01-05 00:00:00,3144.71,3175.32,3143.54,3168.19
1767574800,2026-01-05 01:00:00,3168.2,3220.82,3163.12,3197.91
1767578400,2026-01-05 02:00:00,3197.92,3204.34,3182.95,3193.07
1767582000,2026-01-05 03:00:00,3193.07,3197.51,3184.61,3185.86
1767585600,2026-01-05 04:00:00,3185.86,3188.35,3157.46,3167.11
1767589200,2026-01-05 05:00:00,3167.12,3169.63,3148,3149.93
1767592800,2026-01-05 06:00:00,3149.93,3159.11,3135.31,3157.68
1767596400,2026-01-05 07:00:00,3157.68,3163.24,3155.31,3157.33
1767600000,2026-01-05 08:00:00,3157.24,3172.01,3155.73,3163.62
1767603600,2026-01-05 09:00:00,3163.62,3175.17,3153.12,3168.18
1767607200,2026-01-05 10:00:00,3168.17,3179.04,3162.52,3173.19
1767610800,2026-01-05 11:00:00,3173.19,3183.64,3168.21,3180.27
1767614400,2026-01-05 12:00:00,3180.28,3183.91,3166.33,3170.5
1767618000,2026-01-05 13:00:00,3170.51,3175.32,3143.67,3154.39
1767621600,2026-01-05 14:00:00,3154.39,3178.34,3135.02,3167
1767625200,2026-01-05 15:00:00,3167,3205,3152.4,3195.57
1767628800,2026-01-05 16:00:00,3195.58,3202.68,3172.81,3183.9
1767632400,2026-01-05 17:00:00,3183.9,3229.99,3159.48,3213.38
1767636000,2026-01-05 18:00:00,3213.39,3228.95,3186.39,3228.3
1767639600,2026-01-05 19:00:00,3228.31,3228.52,3214.82,3223.07
1767643200,2026-01-05 20:00:00,3223.07,3265.66,3220,3241.93
1767646800,2026-01-05 21:00:00,3241.94,3248.27,3231.76,3238.32
1767650400,2026-01-05 22:00:00,3238.32,3249.75,3229.59,3240.19
1767654000,2026-01-05 23:00:00,3240.2,3241.39,3224.86,3224.99
1767657600,2026-01-06 00:00:00,3224.99,3231.21,3203.34,3216.1
